longitude,latitude,housing_median_age,total_rooms,population,households,median_income
-119.11,35.42,52.0,154.0,37.0,16.0,10.0263
-118.28,34.04,48.0,1521.0,1772.0,458.0,2.2232
-122.21,37.8,48.0,1321.0,506.0,252.0,4.0977
-122.39,38.0,33.0,44.0,23.0,11.0,4.125
-122.27,37.85,52.0,1228.0,648.0,303.0,2.1202
-118.49,34.29,26.0,4516.0,1714.0,581.0,9.2873
-120.99,38.69,5.0,5743.0,2651.0,962.0,4.1163
-124.13,40.79,32.0,2017.0,855.0,346.0,3.5833
-124.0,40.92,29.0,1429.0,672.0,266.0,2.9485
-119.56,36.51,37.0,1018.0,663.0,204.0,1.6635
-119.85,36.74,35.0,1191.0,537.0,182.0,3.5375
-121.71,39.41,22.0,1814.0,941.0,323.0,2.1728
-118.61,34.15,32.0,4491.0,1696.0,749.0,4.9102
-122.25,37.89,41.0,1125.0,356.0,181.0,6.1593
-120.95,38.69,10.0,3421.0,1689.0,545.0,5.2032
-121.86,37.7,13.0,9621.0,4389.0,1391.0,6.6827
-121.86,39.75,18.0,1651.0,856.0,293.0,3.5046
-122.91,39.05,27.0,789.0,295.0,108.0,3.7667
-118.38,34.22,32.0,362.0,348.0,102.0,2.2679
-119.85,36.82,15.0,1387.0,638.0,195.0,5.5842
-122.25,37.76,52.0,2876.0,1340.0,632.0,3.567
-122.19,37.79,50.0,968.0,462.0,184.0,2.9844
-118.44,34.15,37.0,1335.0,539.0,279.0,3.2813
-122.27,37.81,40.0,880.0,582.0,380.0,0.977
-124.08,40.99,18.0,3297.0,1554.0,578.0,2.6847
-122.3,37.88,46.0,1647.0,854.0,355.0,2.9
-123.92,41.54,22.0,2920.0,1382.0,499.0,2.0202
-122.03,38.01,27.0,3228.0,1666.0,588.0,4.5707
-118.94,35.37,23.0,1106.0,790.0,230.0,1.8523
-122.17,37.78,49.0,893.0,468.0,181.0,3.875
-118.4,34.21,30.0,2453.0,1753.0,506.0,2.9803
-119.69,36.81,15.0,2892.0,1634.0,501.0,4.4934
-121.81,38.0,37.0,2724.0,1400.0,540.0,2.905
-115.9,33.34,19.0,1210.0,329.0,155.0,1.7857
-122.21,37.78,52.0,1056.0,792.0,245.0,2.6583
-118.58,34.21,24.0,2642.0,1649.0,633.0,3.0187
-118.53,34.2,33.0,3270.0,2118.0,763.0,3.225
-122.08,37.99,19.0,4657.0,1914.0,732.0,5.0509
-122.25,37.89,42.0,2863.0,1031.0,448.0,6.7138
-118.3,34.0,52.0,1420.0,1080.0,353.0,1.5179
-117.99,35.16,15.0,2180.0,960.0,370.0,2.875
-118.18,36.63,23.0,2311.0,1019.0,384.0,2.2574
-118.17,34.09,45.0,1327.0,1069.0,284.0,3.3977
-118.94,35.36,19.0,2714.0,1823.0,500.0,3.1281
-119.77,36.3,24.0,2202.0,1052.0,439.0,2.1038
-121.49,39.49,20.0,2505.0,1174.0,429.0,2.9965
-121.8,37.69,17.0,3956.0,2222.0,662.0,5.4324
-118.21,34.14,44.0,1681.0,1105.0,387.0,3.2222
-122.02,37.6,31.0,2155.0,1858.0,437.0,2.652
-118.19,34.87,2.0,2103.0,923.0,338.0,5.0553
-122.02,37.53,21.0,4280.0,2216.0,681.0,5.7072
-122.04,37.5,17.0,407.0,307.0,100.0,3.1696
-124.09,40.88,26.0,2683.0,1353.0,526.0,2.4321
-119.65,36.35,38.0,3148.0,1378.0,537.0,2.8788
-124.19,40.73,21.0,5694.0,2907.0,972.0,3.5363
-121.8,38.01,37.0,3058.0,1351.0,523.0,3.5179
-121.99,37.56,18.0,5505.0,2641.0,971.0,5.0
-118.33,34.04,48.0,2437.0,1400.0,426.0,2.628
-121.77,37.74,25.0,494.0,254.0,85.0,9.1531
-118.24,34.01,43.0,1456.0,2098.0,433.0,1.8929
-122.17,37.76,33.0,1280.0,999.0,286.0,2.5625
-122.23,37.76,52.0,1049.0,374.0,176.0,4.1458
-118.19,34.07,42.0,1555.0,1152.0,348.0,3.375
-120.51,36.86,21.0,1779.0,1446.0,371.0,2.4414
-118.26,34.02,39.0,698.0,1046.0,228.0,2.2356
